quantile,score_scheme,cap_multiplier,median_uplift,mean_uplift,max_uplift,pct_capped
0.9,balanced,2.0,1.25,1.2223,2.0,0.02
0.9,balanced,3.0,1.25,1.2224,2.2269,0.0
0.9,balanced,4.0,1.25,1.2224,2.2269,0.0
0.9,balanced,5.0,1.25,1.2224,2.2269,0.0
0.9,balanced,6.0,1.25,1.2224,2.2269,0.0
0.9,frontier_heavy,2.0,1.25,1.2244,2.0,0.03
0.9,frontier_heavy,3.0,1.25,1.2245,2.3409,0.0
0.9,frontier_heavy,4.0,1.25,1.2245,2.3409,0.0
0.9,frontier_heavy,5.0,1.25,1.2245,2.3409,0.0
0.9,frontier_heavy,6.0,1.25,1.2245,2.3409,0.0
0.9,plateau_heavy,2.0,1.25,1.2409,2.0,0.02
0.9,plateau_heavy,3.0,1.25,1.2409,2.1328,0.0
0.9,plateau_heavy,4.0,1.25,1.2409,2.1328,0.0
0.9,plateau_heavy,5.0,1.25,1.2409,2.1328,0.0
0.9,plateau_heavy,6.0,1.25,1.2409,2.1328,0.0
0.95,balanced,2.0,1.25,1.2268,2.0,0.03
0.95,balanced,3.0,1.25,1.2269,2.5259,0.0
0.95,balanced,4.0,1.25,1.2269,2.5259,0.0
0.95,balanced,5.0,1.25,1.2269,2.5259,0.0
0.95,balanced,6.0,1.25,1.2269,2.5259,0.0
0.95,frontier_heavy,2.0,1.25,1.2302,2.0,0.04
0.95,frontier_heavy,3.0,1.25,1.2304,2.8182,0.0
0.95,frontier_heavy,4.0,1.25,1.2304,2.8182,0.0
0.95,frontier_heavy,5.0,1.25,1.2304,2.8182,0.0
0.95,frontier_heavy,6.0,1.25,1.2304,2.8182,0.0
0.95,plateau_heavy,2.0,1.25,1.2444,2.0,0.03
0.95,plateau_heavy,3.0,1.25,1.2445,2.4197,0.0
0.95,plateau_heavy,4.0,1.25,1.2445,2.4197,0.0
0.95,plateau_heavy,5.0,1.25,1.2445,2.4197,0.0
0.95,plateau_heavy,6.0,1.25,1.2445,2.4197,0.0
