Outlet_ID,cqr_lower,cqr_upper
OUT_00001,899.2484,1144.4739
OUT_00002,906.0529,1211.282
OUT_00003,890.6377,1101.8619
OUT_00004,929.28064,1147.0327
OUT_00005,909.6155,1091.3896
OUT_00006,905.7312,1368.209
OUT_00007,907.73065,1134.9276
OUT_00008,884.9347,1146.6182
OUT_00009,893.5565,1404.5664
OUT_00010,892.9381,1260.7395
OUT_00011,884.383,1162.1443
OUT_00012,900.49976,1090.6658
OUT_00013,902.33887,1110.6184
OUT_00014,898.69073,1106.3151
OUT_00015,920.6661,1320.6122
OUT_00016,1050.4401,1667.5461
OUT_00017,907.2473,1271.7661
OUT_00018,890.43396,1167.3857
OUT_00019,915.1459,1519.7628
OUT_00020,914.15546,1344.7411
OUT_00021,915.14386,1511.7407
OUT_00022,923.98376,1214.0912
OUT_00023,915.92786,1424.2985
OUT_00024,900.7449,1092.6956
OUT_00025,963.2793,1592.0027
OUT_00026,912.0163,1402.7761
OUT_00027,924.4819,1260.3411
OUT_00028,904.7774,1252.5092
OUT_00029,912.88196,1125.0476
OUT_00030,890.05597,1061.9944
OUT_00031,917.58966,1401.4666
OUT_00032,914.6706,1406.0236
OUT_00033,900.9957,1204.8096
OUT_00034,902.8702,1343.2292
OUT_00035,906.97614,1133.0635
OUT_00036,903.7353,1217.5189
OUT_00037,932.7151,1171.359
OUT_00038,902.731,1118.6926
OUT_00039,919.576,1160.5361
OUT_00040,912.14716,1546.3577
OUT_00041,891.551,1280.4894
OUT_00042,914.32916,1082.0895
OUT_00043,877.39136,1136.5958
OUT_00044,913.3754,1412.9125
OUT_00045,901.11237,1278.7717
OUT_00046,483.6625,1142.8666
OUT_00047,925.392,1409.7961
OUT_00048,909.6609,1138.2356
OUT_00049,926.5999,1264.8359
OUT_00050,895.0176,1193.5209
OUT_00051,883.45135,1127.6935
OUT_00052,897.55634,1157.6411
OUT_00053,857.1365,1511.1483
OUT_00054,925.94366,1401.029
OUT_00055,911.0548,1178.1459
OUT_00056,911.53033,1452.234
OUT_00057,911.54663,1121.473
OUT_00058,925.4034,1127.28
OUT_00059,916.3524,1179.5245
OUT_00060,893.13855,1182.8285
OUT_00061,913.0145,1266.154
OUT_00062,909.9814,1169.46
OUT_00063,903.95746,1104.2487
OUT_00064,890.51263,1054.1436
OUT_00065,888.2709,1135.8068
OUT_00066,912.02295,1144.6777
OUT_00067,907.29144,1081.4434
OUT_00068,895.1567,1080.4232
OUT_00069,888.3583,1121.2336
OUT_00070,900.5069,1070.6404
OUT_00071,930.6003,1401.029
OUT_00072,923.50995,1142.717
OUT_00073,898.7132,1075.6442
OUT_00074,916.58997,1334.0302
OUT_00075,889.8351,1093.7015
OUT_00076,893.1354,1151.8911
OUT_00077,915.4805,1252.6117
OUT_00078,896.7796,1271.8757
OUT_00079,896.42615,1199.2079
OUT_00080,890.4483,1242.7589
OUT_00081,895.96234,1102.6699
OUT_00082,896.2515,1043.1702
OUT_00083,878.2276,1145.3103
OUT_00084,863.64136,1152.1858
OUT_00085,893.67694,1048.596
OUT_00086,921.90894,1353.2218
OUT_00087,892.2408,1070.8308
OUT_00088,895.89014,1122.4374
OUT_00089,889.88025,1080.6008
OUT_00090,901.9189,1091.459
OUT_00091,860.8978,1136.4783
OUT_00092,914.80536,1069.2217
OUT_00093,897.9346,1074.9829
OUT_00094,875.5449,1128.1461
OUT_00095,921.43756,1118.4426
OUT_00096,912.1037,1129.3071
OUT_00097,912.94446,1138.858
OUT_00098,885.78894,1197.1304
OUT_00099,878.17505,1140.6846
OUT_00100,887.41736,1050.2084
OUT_00101,898.01294,1213.8307
OUT_00102,916.4953,1180.474
OUT_00103,897.54144,1252.0807
OUT_00104,895.5029,1081.2185
OUT_00105,931.8963,1524.4341
OUT_00106,895.2587,1107.3016
OUT_00107,904.1608,1249.11
OUT_00108,898.60815,1081.7349
OUT_00109,903.992,1066.8665
OUT_00110,928.1504,1232.9094
OUT_00111,917.35175,1189.5884
OUT_00112,908.91595,1286.2051
OUT_00113,915.4974,1480.861
OUT_00114,888.1415,1143.2881
OUT_00115,829.01465,1107.855
OUT_00116,892.2971,1178.1183
OUT_00117,934.04834,1209.6627
OUT_00118,916.19507,1138.4274
OUT_00119,880.096,1206.6466
OUT_00120,900.43115,1183.3435
OUT_00121,895.45807,1273.4382
OUT_00122,898.86816,1116.0001
OUT_00123,898.7526,1064.5792
OUT_00124,886.83167,1171.4573
OUT_00125,889.7426,1061.8483
OUT_00126,873.0481,1168.2335
OUT_00127,890.24786,1232.0117
OUT_00128,905.2335,1106.0568
OUT_00129,899.0727,1199.2145
OUT_00130,911.1303,1345.6365
OUT_00131,923.6367,1139.6007
OUT_00132,906.4912,1215.9182
OUT_00133,909.104,1341.4115
OUT_00134,895.09955,1048.1233
OUT_00135,912.6279,1161.4464
OUT_00136,892.3379,1202.0751
OUT_00137,920.2519,1139.8973
OUT_00138,894.0431,1176.3549
OUT_00139,894.3847,1223.1123
OUT_00140,897.1007,1088.5486
OUT_00141,900.09717,1267.5208
OUT_00142,963.9396,1528.5779
OUT_00143,897.26715,1085.8818
OUT_00144,925.45514,1530.5365
OUT_00145,901.159,1115.834
OUT_00146,953.7534,1543.3367
OUT_00147,888.51794,1069.3914
OUT_00148,905.2353,1326.893
OUT_00149,890.0108,1111.0945
OUT_00150,920.5606,1127.1449
OUT_00151,902.24457,1339.1161
OUT_00152,897.20264,1193.3398
OUT_00153,886.1357,1076.3722
OUT_00154,454.97955,1069.6927
OUT_00155,915.53644,1120.0596
OUT_00156,895.8879,1270.6118
OUT_00157,932.7274,1227.4718
OUT_00158,919.0606,1312.3295
OUT_00159,899.23816,1260.6995
OUT_00160,895.58606,1266.1201
OUT_00161,489.9269,1080.8933
OUT_00162,903.74384,1073.198
OUT_00163,898.70276,1070.046
OUT_00164,903.39417,1101.082
OUT_00165,899.6625,1090.0775
OUT_00166,892.3281,1171.299
OUT_00167,929.4699,1260.3411
OUT_00168,924.137,1447.5009
OUT_00169,898.6491,1086.0337
OUT_00170,893.51025,1063.1511
OUT_00171,891.9853,1103.6304
OUT_00172,893.37396,1043.6534
OUT_00173,893.7525,1102.7655
OUT_00174,880.7693,1037.3145
OUT_00175,917.1414,1102.4662
OUT_00176,876.07733,1128.1902
OUT_00177,896.53986,1093.09
OUT_00178,932.0912,1209.8114
OUT_00179,871.83136,1174.459
OUT_00180,895.733,1259.1282
OUT_00181,890.9539,1069.1786
OUT_00182,921.19495,1405.3218
OUT_00183,909.1097,1104.3276
OUT_00184,868.7646,1067.0487
OUT_00185,903.74396,1182.7416
OUT_00186,919.9074,1187.7787
OUT_00187,892.8871,1113.4509
OUT_00188,913.70465,1367.2144
OUT_00189,487.01395,1084.8226
OUT_00190,899.39056,1174.1484
OUT_00191,885.31635,1076.0826
OUT_00192,878.9485,1144.6709
OUT_00193,891.3295,1073.3463
OUT_00194,908.01556,1169.8008
OUT_00195,885.64954,1134.3015
OUT_00196,890.03174,1181.216
OUT_00197,870.9238,1135.156
OUT_00198,916.53186,1185.6295
OUT_00199,912.1325,1131.1068
OUT_00200,887.26733,1081.5446
OUT_00201,356.97546,878.5837
OUT_00202,885.4293,1062.3969
OUT_00203,907.6083,1118.6637
OUT_00204,901.8844,1092.0122
OUT_00205,925.8877,1142.717
OUT_00206,895.0328,1052.7391
OUT_00207,903.0821,1087.3273
OUT_00208,885.422,1318.4786
OUT_00209,453.50977,1026.6785
OUT_00210,903.11334,1111.2086
OUT_00211,895.03973,1066.2053
OUT_00212,909.9158,1325.0942
OUT_00213,917.9565,1063.3973
OUT_00214,895.6312,1255.3141
OUT_00215,902.75275,1281.9944
OUT_00216,914.7295,1179.9733
OUT_00217,904.65076,1085.8539
OUT_00218,907.7818,1179.3442
OUT_00219,905.05286,1160.1437
OUT_00220,901.12897,1372.618
OUT_00221,920.0131,1170.8623
OUT_00222,887.8352,1231.0641
OUT_00223,891.8838,1015.9791
OUT_00224,898.52484,1095.1931
OUT_00225,897.0218,1181.6654
OUT_00226,1039.4597,1123.8477
OUT_00227,897.74115,1077.2902
OUT_00228,904.0873,1116.535
OUT_00229,902.1199,1265.5084
OUT_00230,896.69617,1083.253
OUT_00231,906.9841,1095.9518
OUT_00232,930.5209,1378.6003
OUT_00233,893.5754,1068.426
OUT_00234,892.3714,1110.5381
OUT_00235,881.8237,1067.1621
OUT_00236,901.4708,1241.5294
OUT_00237,847.9657,1189.0758
OUT_00238,916.0293,1129.1644
OUT_00239,887.9251,1098.4016
OUT_00240,896.7921,1214.1779
OUT_00241,400.2434,1048.8076
OUT_00242,883.5224,1144.245
OUT_00243,926.5131,1090.5359
OUT_00244,797.8534,1052.3369
OUT_00245,905.2654,1128.3617
OUT_00246,896.7348,1249.3142
OUT_00247,933.9192,1175.4138
OUT_00248,885.1198,1272.5477
OUT_00249,897.2374,1063.1511
OUT_00250,899.7447,1256.1565
OUT_00251,876.06665,1135.2642
OUT_00252,904.9987,1083.4291
OUT_00253,887.55054,1081.7632
OUT_00254,452.982,1113.2848
OUT_00255,913.3005,1303.8378
OUT_00256,892.1102,1132.7864
OUT_00257,900.7332,1100.7687
OUT_00258,908.8244,1089.3854
OUT_00259,892.5715,1228.9786
OUT_00260,877.41364,1186.9717
OUT_00261,920.6678,1176.1157
OUT_00262,903.49493,1193.7777
OUT_00263,889.36017,1230.5453
OUT_00264,899.4423,1107.135
OUT_00265,934.1057,1184.5353
OUT_00266,925.65063,1281.054
OUT_00267,904.9448,1099.9375
OUT_00268,892.4611,1059.2031
OUT_00269,912.3801,1324.7755
OUT_00270,891.5424,1120.6448
OUT_00271,916.4343,1084.4875
OUT_00272,898.39703,1114.7085
OUT_00273,918.031,1171.1401
OUT_00274,891.0248,1270.2305
OUT_00275,924.65326,1096.2031
OUT_00276,880.9279,1067.6696
OUT_00277,893.0009,1239.7579
OUT_00278,917.11774,1141.3159
OUT_00279,893.6637,1073.1898
OUT_00280,885.9221,1165.9423
OUT_00281,908.21356,1179.6398
OUT_00282,902.0836,1051.6731
OUT_00283,897.3345,1094.2582
OUT_00284,888.0919,1187.6404
OUT_00285,904.5688,1083.6727
OUT_00286,898.90924,1248.5018
OUT_00287,882.3037,1152.2883
OUT_00288,913.4376,1186.8245
OUT_00289,905.83636,1116.4143
OUT_00290,924.88165,1086.1724
OUT_00291,905.48883,1109.8387
OUT_00292,900.3974,1123.8939
OUT_00293,899.8991,1101.8127
OUT_00294,892.5233,1080.8258
OUT_00295,886.2693,1211.3151
OUT_00296,481.56503,1125.3002
OUT_00297,927.9667,1477.2572
OUT_00298,878.18005,1174.5425
OUT_00299,911.0084,1144.0485
OUT_00300,894.79456,1063.1796
OUT_00301,901.3794,1157.8568
OUT_00302,907.69635,1345.3356
OUT_00303,913.5993,1298.3527
OUT_00304,889.9832,1199.2808
OUT_00305,796.23615,1075.9916
OUT_00306,900.0223,1078.2612
OUT_00307,901.2491,1086.7804
OUT_00308,896.04083,1100.8049
OUT_00309,903.127,1067.0459
OUT_00310,900.63605,1119.7186
OUT_00311,915.55524,1131.1068
OUT_00312,898.342,1248.059
OUT_00313,935.57733,1384.023
OUT_00314,834.7994,1014.439
OUT_00315,899.1082,1058.5159
OUT_00316,901.5445,1236.9564
OUT_00317,894.5876,1072.7029
