Outlet_ID,Trade_Spend_Allocation_LKR
OUT_05936,11614.24
OUT_05355,11144.58
OUT_00619,10860.13
OUT_01152,10819.5
OUT_03983,10488.12
OUT_05727,10334.5
OUT_07658,10251.23
OUT_08995,10016.68
OUT_01316,9995.17
OUT_00791,9494.78
OUT_05597,9442.11
OUT_02950,9173.91
OUT_00038,8995.2
OUT_08159,8885.25
OUT_01595,8874.36
OUT_00434,8777.55
OUT_00019,8738.85
OUT_08716,8710.61
OUT_05250,8614.61
OUT_02841,8445.69
OUT_02936,8424.66
OUT_01505,8102.47
OUT_07215,8085.06
OUT_04136,8000.94
OUT_01376,7939.36
OUT_07796,7924.51
OUT_07225,7729.89
OUT_01906,7711.94
OUT_07703,7674.24
OUT_02636,7668.65
OUT_05092,7532.04
OUT_02854,7518.12
OUT_03064,7506.76
OUT_00025,7355.45
OUT_05938,7314.14
OUT_06151,7313.21
OUT_00006,7290.25
OUT_03954,7284.6
OUT_02475,7252.23
OUT_02351,7155.82
OUT_03228,7078.28
OUT_01557,6974.97
OUT_08840,6929.03
OUT_07285,6863.45
OUT_07089,6776.53
OUT_01514,6758.48
OUT_08231,6613.33
OUT_03513,6545.57
OUT_06103,6428.22
OUT_08158,6278.2
OUT_00044,6174.35
OUT_06392,6098.82
OUT_06205,6077.05
OUT_05943,6055.87
OUT_00996,6018.31
OUT_00052,6011.54
OUT_05846,6003.89
OUT_03635,6002.85
OUT_05259,5952.64
OUT_08619,5950.82
OUT_02721,5940.62
OUT_04869,5879.1
OUT_00042,5819.88
OUT_08221,5818.09
OUT_04701,5671.76
OUT_06304,5654.3
OUT_04644,5652.75
OUT_00823,5626.9
OUT_03876,5603.74
OUT_00221,5600.81
OUT_01621,5595.24
OUT_04640,5566.3
OUT_00056,5547.79
OUT_00402,5546.75
OUT_05604,5541.42
OUT_07832,5515.63
OUT_07639,5503.17
OUT_00684,5497.23
OUT_05947,5493.67
OUT_02267,5471.56
OUT_06041,5460.52
OUT_03814,5452.52
OUT_06033,5442.5
OUT_07408,5425.39
OUT_03786,5416.21
OUT_05626,5405.99
OUT_01146,5390.37
OUT_07519,5378.76
OUT_03622,5373.14
OUT_06210,5363.49
OUT_06417,5332.9
OUT_04798,5316.38
OUT_06725,5313.81
OUT_03910,5305.69
OUT_06415,5302.96
OUT_00755,5300.14
OUT_06410,5273.1
OUT_05407,5262.08
OUT_04261,5260.89
OUT_07980,5235.86
OUT_08442,5197.32
OUT_08695,5185.09
OUT_01108,5179.87
OUT_05231,5168.13
OUT_05838,5147.63
OUT_06940,5138.74
OUT_06830,5129.26
