Outlet_ID,Outlet_Type,Outlet_Size,dominant_distributor,observed_mean_monthly_liters,predicted_potential_liters,headroom_liters,competitive_intensity,bill_per_liter,Trade_Spend_Allocation_LKR,expected_incremental_liters,expected_incremental_revenue_lkr,liters_per_1000_lkr
OUT_05936,Smmt,Extra Large,DIST_W_03,1323.4871564744199,2663.063,1339.5758435255802,0.0,258.2457110785928,11614.24,268.64,69375.09,23.13
OUT_05355,Grocery,Extra Large,DIST_W_03,1367.6286340212046,3640.717,2273.0883659787955,0.25,256.3696997228762,11144.58,243.54,62437.22,21.85
OUT_00619,Grocery,Extra Large,DIST_W_03,1341.1837403658828,2967.249,1626.065259634117,0.125,258.53049553396943,10860.13,243.32,62905.97,22.4
OUT_01152,Eatery,Extra Large,DIST_W_02,1347.7547592557744,2650.742,1302.9872407442258,0.0,261.3691286107133,10819.5,248.7,65003.4,22.99
OUT_03983,Pharmacy,Extra Large,DIST_W_03,1345.151759802103,2657.851,1312.699240197897,0.0,264.0071130306809,10488.12,239.84,63318.68,22.87
OUT_05727,Grocery,Extra Large,DIST_W_03,1361.6693569664194,2591.157,1229.4876430335808,0.0,260.50521990536714,10334.5,237.96,61990.5,23.03
OUT_07658,Bakery,Extra Large,DIST_W_03,1368.0053518568725,2524.658,1156.6526481431274,0.0,256.58315570029976,10251.23,237.91,61043.53,23.21
OUT_08995,Smmt,Extra Large,DIST_W_03,1336.2803612947416,2634.39,1298.1096387052582,0.0,266.27801589277703,10016.68,228.05,60723.53,22.77
OUT_01316,Hotel,Extra Large,DIST_W_02,1335.508973969372,2616.405,1280.8960260306283,0.0,265.55875221525247,9995.17,227.87,60513.85,22.8
OUT_00791,Smmt,Extra Large,DIST_W_03,1338.3759096147623,2497.197,1158.8210903852378,0.0,262.2984969884672,9494.78,217.85,57142.3,22.94
OUT_05597,Hotel,Extra Large,DIST_W_03,1322.8322453958579,2480.636,1157.8037546041421,0.0,262.6206841884822,9442.11,216.51,56858.99,22.93
OUT_02950,Hotel,Extra Large,DIST_W_01,1346.094062779965,2773.935,1427.840937220035,0.125,260.4224470482292,9173.91,204.77,53327.72,22.32
OUT_00038,Bakery,Medium,DIST_W_03,662.876776126654,1906.647,1243.770223873346,0.125,254.3456008947411,8995.2,203.24,51692.16,22.59
OUT_08159,Kiosk,Extra Large,DIST_W_02,1313.975403994487,2443.577,1129.6015960055133,0.0,265.0394325412607,8885.25,202.77,53743.15,22.82
OUT_01595,Grocery,Extra Large,DIST_W_01,1347.7470603415222,2693.72,1345.9729396584776,0.125,259.1698535909006,8874.36,198.58,51465.5,22.38
OUT_00434,Bakry,Extra Large,DIST_W_01,1298.06512140205,2435.703,1137.63787859795,0.0,266.28434050394657,8777.55,199.83,53212.25,22.77
OUT_00019,Grocery,Extra Large,DIST_W_01,663.4768767600951,2168.541,1505.064123239905,0.25,250.2485054386358,8738.85,193.34,48383.35,22.12
OUT_08716,Grocery,Extra Large,DIST_W_03,1313.1567041713242,2609.148,1295.991295828676,0.125,258.21259019728166,8710.61,195.28,50425.0,22.42
OUT_05250,Kiosk,Extra Large,DIST_W_03,1335.698211203612,2651.621,1315.9227887963882,0.125,259.51921570356507,8614.61,192.63,49991.87,22.36
OUT_02841,Grocery,Extra Large,DIST_W_03,1343.412006224635,2639.072,1295.6599937753651,0.125,259.72778004012883,8445.69,188.78,49030.79,22.35
OUT_02936,Smmt,Extra Large,DIST_W_03,1321.8805221178777,2619.845,1297.964477882122,0.125,259.93454604054614,8424.66,188.23,48927.64,22.34
